id,name
10,Paper
11,Envelopes
12,"Books, Pads & Albums"
13,Labels
14,Files  Pockets  Binders
15,"Pens, Pencils & Writing Supplies"
16,Arts & Crafts
17,Adhesives & Tapes
18,Desktop Accessories
19,Personal Planning & Accessories
20,Office Planning
21,Legal & Personnel Supplies
30,Presentation Equipment
31,Presentation Supplies
32,Wall/Notice Boards
40,Computer Hardware
41,Computer Media Supplies
42,Computer Accessories
43,Printer/Fax/Copier Supplies
44,Computer Software
50,Office Machines
51,Office Machine Supplies
60,Furniture
61,Office Environment
62,Safety & Security
63,Mailroom & Warehouse
70,Catering
71,Janitorial
72,Personal Protection Equipment
73,Clothing
80,Bespoke Printing
81,Business Gifts
83,Personal Electronic Equipment
84,Events
99,Unclassified 
