id,name,taxonomy_id
10,Paper,10
11,Envelopes,11
12,"Books, Pads & Albums",12
13,Labels,13
14,Files  Pockets  Binders,14
15,"Pens, Pencils & Writing Supplies",15
16,Arts & Crafts,16
17,Adhesives & Tapes,17
18,Desktop Accessories,18
19,Personal Planning & Accessories,19
20,Office Planning,20
21,Legal & Personnel Supplies,21
30,Presentation Equipment,30
31,Presentation Supplies,31
32,Wall/Notice Boards,32
40,Computer Hardware,40
41,Computer Media Supplies,41
42,Computer Accessories,42
43,Printer/Fax/Copier Supplies,43
44,Computer Software,44
50,Office Machines,50
51,Office Machine Supplies,51
60,Furniture,60
61,Office Environment,61
62,Safety & Security,62
63,Mailroom & Warehouse,63
70,Catering,70
71,Janitorial,71
72,Personal Protection Equipment,72
73,Clothing,73
80,Bespoke Printing,80
81,Business Gifts,81
83,Personal Electronic Equipment,83
84,Events,84
99,Unclassified ,99
