parent_id,id,name,taxonomy_id
10,1010,Copier/Inkjet/Laser - Paper A4,10
10,1011,Copier/Inkjet/Laser - Paper A3,10
10,1012,Copier/Inkjet/Laser - Paper Other Sizes,10
10,1013,Specialist Inkjet,10
10,1014,Office Card (160g +),10
10,1015,Photo Paper,10
10,1016,Listing Paper,10
10,1017,Blotting Paper,10
10,1018,Pre-Printed Stationery,10
10,1019,Social Stationery,10
10,1020,Wide Format Inkjet Paper,10
10,1021,Paper Other,10
10,1099,Unspecified,10
11,1110,Envelopes C4,11
11,1111,Envelopes DL,11
11,1112,Envelopes C5,11
11,1113,Envelopes 15x10 (inches),11
11,1114,Envelopes 16x12 (inches),11
11,1116,Machine Envelopes,11
11,1117,Protective Envelopes (Not Padded),11
11,1118,Padded Bags & Padded Envelopes,11
11,1119,Pre-printed Envelopes,11
11,1120,Envelopes C6,11
11,1121,Media Mailers,11
11,1199,Envelopes Other,11
12,1210,Manuscript Books,12
12,1211,Duplicate Books,12
12,1212,Spiral Note Books,12
12,1213,Accounts Books,12
12,1214,Memo Pads,12
12,1215,Refill Pads,12
12,1216,Analysis Pads/Paper,12
12,1217,Drawing Pads,12
12,1218,Repositional Notes ,12
12,1219,Address Books,12
12,1220,Business Card Books,12
12,1221,Signature Books,12
12,1222,Specialist Books,12
12,1223,Visitors Books,12
12,1224,Electronic Books,12
12,1225,Message Pads,12
12,1226,Albums,12
12,1299,Books & Pads Other,12
13,1310,Copier Labels,13
13,1311,Ink Jet Labels,13
13,1312,Laser Labels,13
13,1313,Address Labels,13
13,1314,Continuous Labels,13
13,1315,Tags/Tickets,13
13,1316,Packeted Labels/Stickers,13
13,1317,Franking Labels,13
13,1399,Labels Other,13
14,1410,Lever Arch Files,14
14,1411,Ring Binders,14
14,1412,Box Files,14
14,1413,Manilla Wallets,14
14,1414,Manilla Folders & Files,14
14,1415,Expanding Files,14
14,1416,Plastic Pockets,14
14,1417,Plastic Folders,14
14,1418,Plastic Wallets,14
14,1419,Card Holders,14
14,1420,Card Index & Supplies,14
14,1421,Suspension Filing,14
14,1422,Lateral Filing,14
14,1423,Computer Binders,14
14,1424,Home Filing,14
14,1425,Dividers/Indexes/Tabs,14
14,1426,File Accessories,14
14,1427,Archive Filing,14
14,1428,Display Books,14
14,1429,Presentation Ring Binders,14
14,1430,Presentation Folders,14
14,1431,Easel Binders,14
14,1432,Portfolios,14
14,1433,Slide Binders,14
14,1499,Filing Other,14
15,1510,Ball Point Pens,15
15,1511,Rollerball Pens,15
15,1512,Fineliner Pens,15
15,1513,Fountain Pens,15
15,1514,Italic Pens,15
15,1515,Highlighters,15
15,1516,Refill Ink,15
15,1517,Correction Media,15
15,1518,Pencils (Wood Case),15
15,1519,Sharpeners,15
15,1520,Mechanical Pencils,15
15,1521,Refill Leads,15
15,1522,Erasers,15
15,1523,Rulers,15
15,1524,Permanent Markers,15
15,1525,Dry Markers,15
15,1526,OHP Pens,15
15,1527,Flipchart Pens,15
15,1529,Water Based Markers,15
15,1599,Writing Supplies Other,15
16,1610,Cutting Mats,16
16,1611,Knives,16
16,1612,Fine Art Pencils,16
16,1613,Technical Pens,16
16,1614,Drawing Aids,16
16,1615,Guillotine/Trimmers/Cutters,16
16,1617,Crayons Chalk & Charcoal,16
16,1618,Journals,16
16,1619,Scissor/Cutters/Punches,16
16,1620,Card/Board,16
16,1621,Speciality Card,16
16,1622,Craft Paper,16
16,1623,Storage,16
16,1624,Brushes & Rollers,16
16,1625,Unspecified,16
16,1699,Graphics Supplies Other,16
17,1710,Clear Tape,17
17,1711,Double Sided,17
17,1712,Drafting Tape,17
17,1713,Adhesives,17
17,1714,Litho Tape,17
17,1715,Masking Tape,17
17,1716,Packing Tape,17
17,1717,Printed Tape,17
17,1718,Invisible Tape,17
17,1719,Glue Products,17
17,1799,Tapes Other,17
18,1810,Blotters,18
18,1811,Desk Mats,18
18,1812,Letter Trays,18
18,1813,Book Racks / Mag Files,18
18,1814,Desk Tidies,18
18,1815,Perforators,18
18,1816,Staplers/Removers,18
18,1817,Staples,18
18,1818,Drawer Sets,18
18,1819,Tape Dispenser,18
18,1820,Clipboards,18
18,1821,Telephone Indexes,18
18,1822,Telephone Arms,18
18,1823,Pins/Clips/Fasteners,18
18,1824,Rubber Stamps,18
18,1825,Stamp Pads & Ink,18
18,1826,Scissors/Letter Openers,18
